,color,linewidth,linestyle,,,,,,
Parm-Parm,red,2,-,2.058804961,1.47275863,0.214389517,,,
Pavi-Pavi,blue,2,-,2.272963695,1.46253197,0.209788258,,,
Pcam-Pcam,orange,2,-,3.102650847,1.424053002,0.152980028,,,
Pcer-Pcer,green,2,-,2.284264713,1.461293535,0.239311948,,,
Pdul-Pdul,yellow,2,-,2.758805071,1.449519648,0.198843709,,,
Pfru-Pfru,#483D8B,2,-,1.502698975,1.466255828,0.268175454,,,
Phum-Phum,#5F9EA0,2,-,2.502081457,1.441945766,0.188334087,,,
Pmum-Pmum,#00FFFF,2,-,2.128131409,1.479437822,0.22731484,,,
Pper-Pper,#3CB371,2,-,2.766849575,1.432893138,0.193198639,,,
Ppus-Ppus,#808000,2,-,2.526421544,1.457646524,0.210824899,,,
Pser-Pser,purple,2,,2.775503725,1.444982548,0.197057677,,,
Psea-Psea,#DAA520,2,-,2.528826806,1.455261978,0.190819883,,,
Pcon-Pcon,#FA8072,2,-,2.878160361,1.425780045,0.187488306,,,
Rchi-Rchi,#87CEEB,2,-,2.30874968,1.52172338,0.230528577,,,
Vvin-Vvin,#DDA0DD,2,-,2.700408143,1.225320381,0.218214773,,,
Rchi-Pser,#F89588,2,--,6.851424004,0.471781651,0.064865007,2.601656624,1.476683365,0.193753314
Ppus-Pser,#63B2EE,2,--,19.5713125,0.029054091,0.019753256,3.137225903,1.430142816,0.170653097
Pfru-Pser,#7CD6CF,2,--,21.74254348,0.034347236,0.019671447,2.390855258,1.452064891,0.233403121
Pper-Pser,pink,2,--,18.90910712,0.051557096,0.023011132,3.098849798,1.430811842,0.174549083
